L,h_crit
3,0.005197964138757088
4,0.0021045059026050922
5,0.0008520537995013373
6,0.0003449720318417641
7,0.0001396692354669188
8,5.65480489295479e-05
9,2.289467560303161e-05
10,9.269394451099419e-06
11,3.7529107194991444e-06
12,1.519445411761615e-06
13,6.151796650338488e-07
14,2.4906852022567544e-07
15,1.0084066703341778e-07
16,4.082748039989507e-08
17,1.6529870387027725e-08
18,6.692468218358091e-09
19,2.70958754092123e-09
20,1.09703391967946e-09
21,4.4415742350147826e-10
22,1.7982654256407343e-10
23,7.280658545706122e-11
24,2.947728856004474e-11
