L,g,h,long_mag
9,0.0,-0.029999999999999995,-1.0
9,0.0,-0.021933884439777857,-1.0
9,0.0,-0.016036509553917645,-0.999999999999996
9,0.0,-0.011724764912434108,-1.0
9,0.0,-0.008572321289096402,-1.0
9,0.0,-0.006267476817856269,-0.999999999999998
9,0.0,-0.004582337075061536,-0.999999999999999
9,0.0,-0.003350281728950314,-1.0
9,0.0,-0.0024494897427831787,-1.0
9,0.0,-0.001790894165154248,-0.999999999999999
9,0.0,-0.0013093755220788574,-0.999999999999998
9,0.0,-0.0009573230463183821,-0.999999999999999
9,0.0,-0.0006999271023161168,-1.0
9,0.0,-0.0005117373392823427,-1.0
9,0.0,-0.00037414625544461,-0.999999999999999
9,0.0,-0.00027354935768325616,-1.0
9,0.0,-0.00020000000000000004,-0.999999999999999
9,0.0,0.00020000000000000004,0.999999999999998
9,0.0,0.00027354935768325616,1.0
9,0.0,0.00037414625544461,0.999999999999995
9,0.0,0.0005117373392823427,0.999999999999998
9,0.0,0.0006999271023161168,1.0
9,0.0,0.0009573230463183821,0.999999999999997
9,0.0,0.0013093755220788574,0.999999999999999
9,0.0,0.001790894165154248,1.0
9,0.0,0.0024494897427831787,0.999999999999999
9,0.0,0.003350281728950314,1.0
9,0.0,0.004582337075061536,1.0
9,0.0,0.006267476817856269,0.999999999999999
9,0.0,0.008572321289096402,0.999999999999998
9,0.0,0.011724764912434108,1.0
9,0.0,0.016036509553917645,1.0
9,0.0,0.021933884439777857,0.999999999999999
9,0.0,0.029999999999999995,0.999999999999999
9,0.1,-0.029999999999999995,-0.998781749140999
9,0.1,-0.021933884439777857,-0.998771900573195
9,0.1,-0.016036509553917645,-0.998764622921221
9,0.1,-0.011724764912434108,-0.998759260283362
9,0.1,-0.008572321289096402,-0.998755316981768
9,0.1,-0.006267476817856269,-0.998752421796753
9,0.1,-0.004582337075061536,-0.998750298529503
9,0.1,-0.003350281728950314,-0.998748742652229
9,0.1,-0.0024494897427831787,-0.998747603231688
9,0.1,-0.001790894165154248,-0.998746769164661
9,0.1,-0.0013093755220788574,-0.998746158816682
9,0.1,-0.0009573230463183821,-0.998745712285936
9,0.1,-0.0006999271023161168,-0.998745385660417
9,0.1,-0.0005117373392823427,-0.998745146772654
9,0.1,-0.00037414625544461,-0.998744972070803
9,0.1,-0.00027354935768325616,-0.998744844317615
9,0.1,-0.00020000000000000004,-0.998744750900922
9,0.1,0.00020000000000000004,0.99874475090092
9,0.1,0.00027354935768325616,0.998744844317617
9,0.1,0.00037414625544461,0.998744972070801
9,0.1,0.0005117373392823427,0.998745146772655
9,0.1,0.0006999271023161168,0.99874538566042
9,0.1,0.0009573230463183821,0.998745712285935
9,0.1,0.0013093755220788574,0.99874615881668
9,0.1,0.001790894165154248,0.998746769164661
9,0.1,0.0024494897427831787,0.998747603231692
9,0.1,0.003350281728950314,0.998748742652224
9,0.1,0.004582337075061536,0.998750298529497
9,0.1,0.006267476817856269,0.998752421796751
9,0.1,0.008572321289096402,0.998755316981767
9,0.1,0.011724764912434108,0.99875926028336
9,0.1,0.016036509553917645,0.998764622921218
