L,kg,E_m,E_p,broken_mag
3,-1.0,-3.23926596236045,-3.43050087404306,-0.941134255881079
3,-0.7777777777777778,-3.28543677271341,-3.53846831103876,-0.92809072526711
3,-0.5555555555555556,-3.33398686027145,-3.65775634142589,-0.914457988574835
3,-0.33333333333333337,-3.38464885836805,-3.78755638784834,-0.900529009788409
3,-0.11111111111111116,-3.43719034593437,-3.92697386423154,-0.886570718560095
3,0.0,-3.46410161513775,-4.0,-0.879652811254895
3,0.11111111111111116,-3.49140899668579,-4.07508392477001,-0.872808253958256
3,0.33333333333333326,-3.54712836292318,-4.23097600314877,-0.859418127002973
3,0.5555555555555554,-3.6041942407196,-4.39378540975935,-0.846528570728366
3,0.7777777777777777,-3.66247155317009,-4.56271286006907,-0.834224540351775
3,1.0,-3.72184168686548,-4.73703418364266,-0.822554987332548
4,-1.0,-4.5,-4.65604766678166,0.915248560060029
4,-0.7777777777777778,-4.56820540696138,-4.76740383803557,-0.901338511687602
4,-0.5555555555555556,-4.63932744893771,-4.88789383739215,-0.886779725610568
4,-0.33333333333333337,-4.71313676601662,-5.01712481562823,0.87180698163611
4,-0.11111111111111116,-4.78942004680738,-5.15459942150257,-0.856658138011141
4,0.0,-4.82842712474619,-5.22625185950551,0.849088294607003
4,0.11111111111111116,-4.86797988869785,-5.29974749771912,-0.841555981606001
4,0.33333333333333326,-4.94863433549236,-5.45195824833575,0.826694815522692
4,0.5555555555555554,-5.03121619237861,-5.61060907338676,0.812232854916528
4,0.7777777777777777,-5.11557219840221,-5.77508882344996,-0.798290016090888
4,1.0,-5.20156211871642,-5.9448147220629,-0.784949802699466
5,-1.0,-5.76666267116558,-5.89764461332933,-0.894255938310184
5,-0.7777777777777778,-5.8480483458568,-6.01211941961949,-0.879979621788238
5,-0.5555555555555556,-5.93243553136335,-6.13433956783072,-0.865018319563901
5,-0.33333333333333337,-6.01964401682195,-6.26408967434502,-0.849571790204385
5,-0.11111111111111116,-6.10949941401557,-6.40106059178267,-0.833855679653315
5,0.0,-6.15536707435051,-6.47213595499958,-0.825964092991323
5,0.11111111111111116,-6.20183424405951,-6.5448674432957,-0.81808468912389
5,0.33333333333333326,-6.29648871034321,-6.69507138149508,-0.802457713825331
5,0.5555555555555554,-6.39331119659485,-6.85120194885018,-0.787146990649839
5,0.7777777777777777,-6.49215853193868,-7.01277750480384,-0.77229201823696
5,1.0,-6.59289606448407,-7.17932212181198,-0.757997898030231
6,-1.0,-7.03571879233316,-7.14833045874511,0.876788187021354
6,-0.7777777777777778,-7.12596751240656,-7.26538719868492,0.862355310426751
6,-0.5555555555555556,-7.21916153113543,-7.38921679732149,0.847214923313969
6,-0.33333333333333337,-7.31515869448705,-7.51969453323871,0.831543366070734
6,-0.11111111111111116,-7.41381763077891,-7.65661463670356,0.815539494327356
6,0.0,-7.46410161513775,-7.72740661031254,0.807477523606671
6,0.11111111111111116,-7.51499901854548,-7.79970085611336,0.799409556038679
6,0.33333333333333326,-7.6185666550418,-7.94862149172804,0.783352339197276
6,0.5555555555555554,-7.72438832501551,-8.10300658353562,0.767546924963692
6,0.7777777777777777,-7.83233647832653,-8.26246501801813,0.752144424195098
6,1.0,-7.94228873129556,-8.42659983033549,0.737263990069656
7,-1.0,-8.30597814559313,-8.40464482963197,-0.861913217968782
7,-0.7777777777777778,-8.40263670256471,-8.52382316514424,-0.847425220299457
7,-0.5555555555555556,-8.5021376399762,-8.64904868275772,-0.832215386883746
7,-0.33333333333333337,-8.60436684867253,-8.78024835970528,-0.816443278614381
7,-0.11111111111111116,-8.70920846764213,-8.91727899060145,-0.800294766841476
7,0.0,-8.76257253506963,-8.98791841486988,-0.792141321829982
7,0.11111111111111116,-8.81654605245735,-9.05993344997786,0.783968442432395
7,0.33333333333333326,-8.92626363533004,-9.2079513865142,0.76766121350051
7,0.5555555555555554,-9.03824665933931,-9.36103265448939,0.751555472543089
7,0.7777777777777777,-9.15238277794522,-9.51885161263523,0.735809535883307
7,1.0,-9.26856251819111,-9.68107066145801,-0.720552077916404
8,-1.0,-9.57693644359848,-9.66468863925025,-0.849005103603131
8,-0.7777777777777778,-9.67846775053055,-9.78562844462492,0.834515471336556
8,-0.5555555555555556,-9.78272554001496,-9.91204955349399,-0.81929479054726
8,-0.33333333333333337,-9.88961653160819,-10.0439106730132,-0.803489995703953
8,-0.11111111111111116,-9.99904440253903,-10.1811091270233,-0.787276656210262
8,0.0,-10.0546789842517,-10.251661790966,-0.779076490676587
8,0.11111111111111116,-10.1109107969928,-10.323484502903,-0.770846668912323
8,0.33333333333333326,-10.2251162875328,-10.4708264569465,0.754394420114658
8,0.5555555555555554,-10.3415612652641,-10.6228854262147,0.738103747653618
8,0.7777777777777777,-10.4601467420063,-10.7793846963877,0.722137578891851
8,1.0,-10.580775054135,-10.9400323479396,0.70663125861807
9,-1.0,-10.8483438897149,-10.9273341092615,0.837631818006563
9,-0.7777777777777778,-10.9537168015072,-11.0497564112844,0.823170255200695
9,-0.5555555555555556,-11.0617004037478,-11.1772042454463,0.807971749798391
9,-0.33333333333333337,-11.1722171834896,-11.309656831015,-0.792173380572873
9,-0.11111111111111116,-11.285185941216,-11.4470390986261,-0.775942351684595
9,0.0,-11.3425636392354,-11.5175409662873,-0.767722362767909
9,0.11111111111111116,-11.4005226451126,-11.5892236765595,-0.759464747726875
9,0.33333333333333326,-11.5181412760922,-11.7360367068997,-0.742932261434096
9,0.5555555555555554,-11.6379546392121,-11.8872665550559,-0.726529139236095
9,0.7777777777777777,-11.7598751218674,-12.0426741209308,-0.710421310544729
9,1.0,-11.883815384225,-12.2020034281514,-0.694748916962335
10,-1.0,-12.1200618309006,-12.1918689762161,0.827485481166062
10,-0.7777777777777778,-12.2285487156004,-12.3155556341243,0.813068924896795
10,-0.5555555555555556,-12.3395357376272,-12.4438915310622,0.797911760196572
10,-0.33333333333333337,-12.4529575648149,-12.5768696578715,0.782143150888637
10,-0.11111111111111116,-12.5687448833734,-12.7144344875181,-0.765923371712589
10,0.0,-12.6275030293501,-12.7849064429993,-0.75770039435646
10,0.11111111111111116,-12.6868251176714,-12.8564828703043,-0.749433446534899
10,0.33333333333333326,-12.8071231651346,-13.002868437815,-0.73286240471818
10,0.5555555555555554,-12.9295621230329,-13.1534088071571,-0.716394305590023
10,0.7777777777777777,-13.0540639870949,-13.307894499631,-0.700197039983479
10,1.0,-13.1805503057215,-13.4660983904549,-0.684414268372106
11,-1.0,-13.3920063765988,-13.4578208759994,0.818340115016939
11,-0.7777777777777778,-13.5030733296099,-13.5825988801445,0.803978243327881
11,-0.5555555555555556,-13.6165369288571,-13.7117093043514,0.788873634971408
11,-0.33333333333333337,-13.7323414315197,-13.8451546473303,0.773148951173373
11,-0.11111111111111116,-13.8504270120886,-13.9828936418503,0.756958628191208
11,0.0,-13.9103055435469,-14.0533483666646,0.748743497038334
11,0.11111111111111116,-13.970730369898,-14.1248414138601,0.740479256186999
11,0.33333333333333326,-14.0931853670491,-14.2708728570042,0.723897316519028
11,0.5555555555555554,-14.2177236754132,-14.4208286818808,0.70739633295717
11,0.7777777777777777,-14.3442754133486,-14.5745232179819,-0.691145461586461
11,1.0,-14.4727697555608,-14.7317529074997,0.675290982428488
12,-1.0,-14.6641232559832,-14.7248638977674,0.810025512743029
12,-0.7777777777777778,-14.7773661504093,-14.8505939933447,0.795723697985702
12,-0.5555555555555556,-14.8929096507483,-14.9803854931212,0.780678102825739
12,-0.33333333333333337,-15.0107056920834,-15.1142475956041,0.765005945899137
12,-0.11111111111111116,-15.1307021351004,-15.2521496962719,0.748856672153562
12,0.0,-15.1915082254504,-15.3225951510808,0.740656483024655
12,0.11111111111111116,-15.2528432811032,-15.3940210401629,0.732402959243338
12,0.33333333333333326,-15.377070426888,-15.5397533288191,0.71582888784579
12,0.5555555555555554,-15.5033224402631,-15.6892058665459,0.699317242143177
12,0.7777777777777777,-15.6315363380451,-15.8422124552238,0.683037964879213
12,1.0,-15.7616478503141,-15.9985890824435,-0.667139305909215
13,-1.0,-15.9363754520086,-15.9927657134807,0.802410574044172
13,-0.7777777777777778,-16.0514805381024,-16.1193342391917,0.788171554685076
13,-0.5555555555555556,-16.1687974074711,-16.2497292660234,-0.773188489405376
13,-0.33333333333333337,-16.2882842352287,-16.3839647819612,0.757573970295425
13,-0.11111111111111116,-16.4098951919543,-16.5220183167805,0.741473121578968
13,0.0,-16.471481908997,-16.5924596211175,0.733292558316477
13,0.11111111111111116,-16.5335808825938,-16.6638302411798,0.725055143069307
13,0.33333333333333326,-16.6592888309371,-16.8093057902101,0.708501869278816
13,0.5555555555555554,-16.78696399249,-16.9583194915459,0.691995227879392
13,0.7777777777777777,-16.9165492789359,-17.1107213140956,-0.675705611959764
13,1.0,-17.0479860786687,-17.2663436723695,-0.659782761300224
14,-1.0,-17.2087366209109,-17.2613561084188,0.795392345226899
14,-0.7777777777777778,-17.3254551246341,-17.3886691000417,0.781217213733514
14,-0.5555555555555556,-17.4443033201806,-17.5196027244157,0.766298336649745
14,-0.33333333333333337,-17.5652445214329,-17.6541744245889,0.750744321289874
14,-0.11111111111111116,-17.6882381414538,-17.7923680397713,0.734696510937177
14,0.0,-17.7504909499395,-17.862808540761,0.726538657666837
14,0.11111111111111116,-17.813240068578,-17.9341328557422,0.718320992327546
14,0.33333333333333326,-17.9402030913539,-18.0793851772472,0.701797504092711
14,0.5555555555555554,-18.0690773570115,-18.2280121767431,0.685307054291825
14,0.7777777777777777,-18.1998108480297,-18.3798774218893,0.669020245849764
14,1.0,-18.3323498621365,-18.5348272951291,0.653087947248507
15,-1.0,-18.4811873561541,-18.5305074368825,0.788888602714952
15,-0.7777777777777778,-18.599318478129,-18.6584863121419,0.774777409738104
15,-0.5555555555555556,-18.7195033628205,-18.7899036848633,0.759923186877902
15,-0.33333333333333337,-18.841709605635,-18.9247795004462,0.744431070629822
15,-0.11111111111111116,-18.9659010223294,-19.0631025606771,0.728439064282121
15,0.0,-19.0287289084452,-19.1335444670112,0.720305920380521
15,0.11111111111111116,-19.0920379730023,-19.2048293986154,0.712110449844496
15,0.33333333333333326,-19.2200777365969,-19.3498854973216,0.695623011149635
15,0.5555555555555554,-19.3499749222621,-19.4981686645419,0.679156807367537
15,0.7777777777777777,-19.4816819034443,-19.6495540375308,0.66288247688629
15,1.0,-19.6151492609471,-19.8038999986169,0.646951740589534
16,-1.0,-19.7537129494759,-19.8001220381934,0.782832703635545
16,-0.7777777777777778,-19.8730921225162,-19.9287003926182,0.768784837887432
16,-0.5555555555555556,-19.9944547196371,-20.0605547855327,0.753994964736166
16,-0.33333333333333337,-20.1177719406838,-20.1957069720279,0.738565167945615
16,-0.11111111111111116,-20.2430113346616,-20.3341497032012,-0.722630475731875
16,0.0,-20.3063407752178,-20.4045944747566,-0.714523291999361
16,0.11111111111111116,-20.3701370802417,-20.4758454776207,-0.706351628024962
16,0.33333333333333326,-20.4991103173792,-20.6207274792619,-0.689904583938159
16,0.5555555555555554,-20.6298895178621,-20.7687025597456,-0.673468445951953
16,0.7777777777777777,-20.7624308818619,-20.9196557989437,-0.657213760181322
16,1.0,-20.8966887476232,-21.0734559828901,0.641292885631441
17,-1.0,-21.0263019864189,-21.0701238791397,0.777169927324723
17,-0.7777777777777778,-21.1467925445416,-21.199245071898,0.763184359767857
17,-0.5555555555555556,-21.269201238974,-21.3314963587123,0.748458034425236
17,-0.33333333333333337,-21.3935023321731,-21.4669007930796,0.733090327091915
17,-0.11111111111111116,-21.5196665663075,-21.605454300396,0.717213596427021
17,0.0,-21.5834373145232,-21.6759028949189,0.709133100019594
17,0.11111111111111116,-21.6476614072345,-21.7471243436395,0.700986265667643
17,0.33333333333333326,-21.7774513394881,-21.8918506359517,0.684582588039855
17,0.5555555555555554,-21.9089982013845,-22.0395477945058,0.668180715203847
17,0.7777777777777777,-22.0422615484122,-22.1901095201319,0.651951006759235
17,1.0,-22.1771990328968,-22.3434136925111,0.636046291664031
18,-1.0,-22.298945430331,-22.3404528519689,0.771854822169699
18,-0.7777777777777778,-22.4204325596334,-22.4700681613131,0.757930265728735
18,-0.5555555555555556,-22.5437770948545,-22.6026816308749,-0.743266369064212
18,-0.33333333333333337,-22.6689559223415,-22.7383172303523,-0.727960087722455
18,-0.11111111111111116,-22.79594253693,-22.8769734580454,0.712141369233092
18,0.0,-22.8601046055227,-22.9474264913397,0.704087917344508
18,0.11111111111111116,-22.9247072550392,-23.0186219482924,0.695966514934139
18,0.33333333333333326,-23.0552174782149,-23.1632080014756,0.67960818023943
18,0.5555555555555554,-23.1874379973524,-23.3106529604829,0.663243580501443
18,0.7777777777777777,-23.3213313267597,-23.4608580608823,0.647042818998571
18,1.0,-23.4568580568432,-23.6137091892277,0.631159061302902
19,-1.0,-23.5716360045981,-23.6110607913152,-0.766849245862544
19,-0.7777777777777778,-23.6940222613663,-23.7411279866515,-0.752984261249793
19,-0.5555555555555556,-23.8182093070885,-23.8740734079687,-0.738381477409909
19,-0.33333333333333337,-23.9441762929728,-24.0099216524454,-0.723135672313358
19,-0.11111111111111116,-24.0718991036679,-24.1486733186617,-0.707374602987457
19,0.0,-24.1364105589954,-24.2191311708821,-0.699348289737671
19,0.11111111111111116,-24.2013505440884,-24.2903035761336,-0.691252618357003
19,0.33333333333333326,-24.3325005758239,-24.4347625461813,-0.674940874150728
19,0.5555555555555554,-24.4653165943534,-24.5819774419966,0.658615669284046
19,0.7777777777777777,-24.5997637371123,-24.7318561317784,0.642446798980928
19,1.0,-24.7358052119307,-24.8842915986741,0.626587658767929
20,-1.0,-24.8443677637567,-24.8819086332907,-0.762120893781313
20,-0.7777777777777778,-24.9675696941937,-25.0123908562463,-0.748313960235542
20,-0.5555555555555556,-25.0925195140971,-25.1456417352748,-0.733770858090795
20,-0.33333333333333337,-25.2191983428838,-25.281686275066,-0.718584394363638
20,-0.11111111111111116,-25.3475841534007,-25.4205267988652,-0.702880325509739
20,0.0,-25.4124094723494,-25.4909896863648,0.694881057424147
20,0.11111111111111116,-25.4776519362723,-25.5621414952683,0.68681119643572
20,0.33333333333333326,-25.6093739127785,-25.7064846763813,-0.670546752278059
20,0.5555555555555554,-25.7427197883525,-25.8534887148624,-0.65426239857335
20,0.7777777777777777,-25.8776570375393,-26.0030673552428,-0.638127584281587
20,1.0,-26.014151210617,-26.1551199081209,-0.622295848916127
