L,kg,E_m,E_p,broken_mag
3,-1.0,-3.43050087404297,-3.23926596236041,0.918642982006168
3,-0.7777777777777778,-3.53846831103869,-3.28543677271338,0.900157598971937
3,-0.5555555555555556,-3.65775634142586,-3.33398686027144,0.881031432282175
3,-0.33333333333333337,-3.78755638784818,-3.38464885836799,0.861735245326907
3,-0.11111111111111116,-3.92697386423141,-3.43719034593432,0.842673333494449
3,0.0,-4.0,-3.46410161513775,0.833333333333333
3,0.11111111111111116,-4.07508392476994,-3.49140899668577,0.824164345573385
3,0.33333333333333326,-4.23097600314874,-3.54712836292318,0.806437978229592
3,0.5555555555555554,-4.39378540975915,-3.60419424071954,0.789642719666034
3,0.7777777777777777,-4.56271286006893,-3.66247155317004,0.773859440230734
3,1.0,-4.73703418364258,-3.72184168686545,0.759116699370878
4,-1.0,-4.65604766678166,-4.5,0.885913517886176
4,-0.7777777777777778,-4.76740383803546,-4.56820540696131,0.865571817792823
4,-0.5555555555555556,-4.88789383739213,-4.6393274489377,0.844331436795853
4,-0.33333333333333337,-5.01712481562807,-4.71313676601653,0.822614743149432
4,-0.11111111111111116,-5.15459942150251,-4.78942004680735,0.800830466037204
4,0.0,-5.22625185950551,-4.82842712474619,0.790029088867413
4,0.11111111111111116,-5.29974749771891,-4.86797988869774,0.779342546459959
4,0.33333333333333326,-5.45195824833565,-4.94863433549231,0.758450386045697
4,0.5555555555555554,-5.61060907338649,-5.03121619237848,0.738380903809196
4,0.7777777777777777,-5.77508882344983,-5.11557219840214,0.71929023945106
4,1.0,-5.9448147220629,-5.20156211871642,0.701271815172787
5,-1.0,-5.89764461332932,-5.76666267116558,0.867915156295341
5,-0.7777777777777778,-6.01211941961937,-5.84804834585671,0.848524584765803
5,-0.5555555555555556,-6.13433956783047,-5.93243553136317,0.828283854331892
5,-0.33333333333333337,-6.26408967434492,-6.01964401682188,0.807539335190628
5,-0.11111111111111116,-6.40106059178242,-6.10949941401541,0.786644558683069
5,0.0,-6.47213595499958,-6.15536707435051,0.776246117974981
5,0.11111111111111116,-6.54486744329562,-6.20183424405946,0.765931677459198
5,0.33333333333333326,-6.69507138149484,-6.29648871034308,0.74568941866255
5,0.5555555555555554,-6.85120194885015,-6.39331119659482,0.726149906261683
5,0.7777777777777777,-7.01277750480364,-6.49215853193855,0.707484302496475
5,1.0,-7.17932212181199,-6.59289606448407,0.689805507859405
6,-1.0,-7.148330458745,-7.03571879233307,0.847722813569854
6,-0.7777777777777778,-7.2653871986847,-7.1259675124064,0.827803398882057
6,-0.5555555555555556,-7.38921679732149,-7.2191615311354,0.80693075392741
6,-0.33333333333333337,-7.51969453323855,-7.31515869448695,0.785425541326186
6,-0.11111111111111116,-7.65661463670324,-7.41381763077868,0.763630815474187
6,0.0,-7.72740661031255,-7.46410161513776,0.75273124255316
6,0.11111111111111116,-7.79970085611329,-7.51499901854541,0.741883919650599
6,0.33333333333333326,-7.94862149172781,-7.61856665504166,0.720491902190237
6,0.5555555555555554,-8.10300658353522,-7.72438832501524,0.699713963358373
6,0.7777777777777777,-8.26246501801799,-7.83233647832643,0.679752264454506
6,1.0,-8.42659983033518,-7.94228873129534,0.660750442154923
7,-1.0,-8.40464482963174,-8.30597814559296,0.834770049382089
7,-0.7777777777777778,-8.52382316514389,-8.40263670256442,0.815444118262221
7,-0.5555555555555556,-8.64904868275764,-8.50213763997614,0.795198712564477
7,-0.33333333333333337,-8.78024835970503,-8.60436684867232,0.774321164453917
7,-0.11111111111111116,-8.91727899060109,-8.70920846764187,0.753126607319311
7,0.0,-8.98791841486986,-8.76257253506964,0.742510272709213
