L,g,E_p0,E_p1,E_p2,E_m0,E_m1,E_m2,Mx
   3, 1.00000000000000E+00,-4.00000000000000E+00,-3.98986399474666E-17, 2.00000000000000E+00,-3.46410161513775E+00,-2.76308318282198E-17, 1.59025447146586E-17,-8.79652811254895E-01
   4, 1.00000000000000E+00,-5.22625185950551E+00,-2.16478440058479E+00,-4.96011051280454E-17,-4.82842712474619E+00,-2.00000000000000E+00,-2.00000000000000E+00, 8.49088294607003E-01
   5, 1.00000000000000E+00,-6.47213595499958E+00,-4.00000000000000E+00,-2.00000000000000E+00,-6.15536707435051E+00,-3.80422606518062E+00,-3.80422606518062E+00,-8.25964092991323E-01
   6, 1.00000000000000E+00,-7.72740661031254E+00,-5.65685424949238E+00,-3.86370330515627E+00,-7.46410161513775E+00,-5.46410161513776E+00,-5.46410161513775E+00, 8.07477523606671E-01
   7, 1.00000000000000E+00,-8.98791841486988E+00,-7.20775094321936E+00,-5.60387547160968E+00,-8.76257253506963E+00,-7.02703757859942E+00,-7.02703757859941E+00,-7.92141321829982E-01
   8, 1.00000000000000E+00,-1.02516617909660E+01,-8.69093921483701E+00,-7.24901957082311E+00,-1.00546789842517E+01,-8.52394525479134E+00,-8.52394525479133E+00,-7.79076490676587E-01
   9, 1.00000000000000E+00,-1.15175409662873E+01,-1.01283555449518E+01,-8.82294825561951E+00,-1.13425636392354E+01,-9.97448306593274E+00,-9.97448306593273E+00,-7.67722362767909E-01
  10, 1.00000000000000E+00,-1.27849064429993E+01,-1.15334307226774E+01,-1.03432065838802E+01,-1.26275030293501E+01,-1.13914350518503E+01,-1.13914350518503E+01,-7.57700394356460E-01
  11, 1.00000000000000E+00,-1.40533483666646E+01,-1.29148296604782E+01,-1.18224289615639E+01,-1.39103055435469E+01,-1.27833753161812E+01,-1.27833753161812E+01, 7.48743497038334E-01
  12, 1.00000000000000E+00,-1.53225951510808E+01,-1.42783856133204E+01,-1.32697566527402E+01,-1.51915082254504E+01,-1.41562320450402E+01,-1.41562320450402E+01, 7.40656483024655E-01
  13, 1.00000000000000E+00,-1.65924596211175E+01,-1.56281661790749E+01,-1.46918933519261E+01,-1.64714819089970E+01,-1.55142192518468E+01,-1.55142192518468E+01, 7.33292558316477E-01
  14, 1.00000000000000E+00,-1.78628085407610E+01,-1.69670927319346E+01,-1.60938343885271E+01,-1.77504909499395E+01,-1.68604072141143E+01,-1.68604072141142E+01, 7.26538657666837E-01
  15, 1.00000000000000E+00,-1.91335444670112E+01,-1.82973167608700E+01,-1.74793626364408E+01,-1.90287289084452E+01,-1.81970821451741E+01,-1.81970821451741E+01, 7.20305920380521E-01
  16, 1.00000000000000E+00,-2.04045944747566E+01,-1.96204573521202E+01,-1.88513872044206E+01,-2.03063407752178E+01,-1.95259794871532E+01,-1.95259794871532E+01,-7.14523291999361E-01
  17, 1.00000000000000E+00,-2.16759028949189E+01,-2.09377560192125E+01,-2.02121774967774E+01,-2.15834373145232E+01,-2.08484392432570E+01,-2.08484392432569E+01, 7.09133100019594E-01
  18, 1.00000000000000E+00,-2.29474264913397E+01,-2.22501805493585E+01,-2.15635273399390E+01,-2.28601046055227E+01,-2.21655118948550E+01,-2.21655118948549E+01, 7.04087917344508E-01
  19, 1.00000000000000E+00,-2.42191311708821E+01,-2.35584964071034E+01,-2.29068718404294E+01,-2.41364105589954E+01,-2.34780321978726E+01,-2.34780321978726E+01,-6.99348289737671E-01
  20, 1.00000000000000E+00,-2.54909896863648E+01,-2.48633169205420E+01,-2.42433718480298E+01,-2.54124094723494E+01,-2.47866716121886E+01,-2.47866716121885E+01, 6.94881057424147E-01
  21, 1.00000000000000E+00,-2.67629799993095E+01,-2.61651392506181E+01,-2.55739758891385E+01,-2.66881452791954E+01,-2.60919762144908E+01,-2.60919762144907E+01,-6.90658094249570E-01
  22, 1.00000000000000E+00,-2.80350840913682E+01,-2.74643706257742E+01,-2.68994662003594E+01,-2.79636539102116E+01,-2.73943945571184E+01,-2.73943945571183E+01,-6.86655346021562E-01
  23, 1.00000000000000E+00,-2.93072870871738E+01,-2.87613477802563E+01,-2.82204933815047E+01,-2.92389650365745E+01,-2.86942984401896E+01,-2.86942984401895E+01, 6.82852086960959E-01
