L,g,E_p0,E_p1,E_p2,E_m0,E_m1,E_m2,Mx
   3, 0.00000000000000E+00,-3.00000000000000E+00, 1.00000000000000E+00, 1.00000000000000E+00,-3.00000000000000E+00, 1.00000000000000E+00, 1.00000000000000E+00,-1.00000000000000E+00
   3, 2.18242468765491E-01,-3.03965654184977E+00, 6.03171604318787E-01, 1.21824246876549E+00,-3.03197729289189E+00, 7.81757531234509E-01, 7.81757531234509E-01,-9.93934050391039E-01
   3, 3.71334009759827E-01,-3.12239647243154E+00, 3.79728452911890E-01, 1.37133400975983E+00,-3.08567470537664E+00, 6.28665990240173E-01, 6.28665990240173E-01,-9.81996852726835E-01
   3, 4.83590544643172E-01,-3.21595225078321E+00, 2.48771161496868E-01, 1.48359054464317E+00,-3.13744006144402E+00, 5.16409455356828E-01, 5.16409455356828E-01,-9.69030665310461E-01
   3, 5.69634542146905E-01,-3.30727543653217E+00, 1.68006352238363E-01, 1.56963454214691E+00,-3.18290468827567E+00, 4.30365457853095E-01, 4.30365457853095E-01,-9.56840084646045E-01
   3, 6.38575614518591E-01,-3.39266022016246E+00, 1.15508991125282E-01, 1.63857561451859E+00,-3.22244128859568E+00, 3.61424385481409E-01, 3.61424385481409E-01,-9.45864955632341E-01
   3, 6.96316574356964E-01,-3.47231229210772E+00, 7.96791433937883E-02, 1.69631657435696E+00,-3.25744262102859E+00, 3.03683425643035E-01, 3.03683425643036E-01,-9.36003148182602E-01
   3, 7.46868589480215E-01,-3.54791728451536E+00, 5.41801055549316E-02, 1.74686858948021E+00,-3.28936676334234E+00, 2.53131410519785E-01, 2.53131410519785E-01,-9.26981200039053E-01
   3, 7.93132405742996E-01,-3.62171284673724E+00, 3.54480352512487E-02, 1.79313240574300E+00,-3.31954581005938E+00, 2.06867594257004E-01, 2.06867594257004E-01,-9.18491881265143E-01
   3, 8.37390524073114E-01,-3.69624217574877E+00, 2.14611276025436E-02, 1.83739052407311E+00,-3.34921482575015E+00, 1.62609475926886E-01, 1.62609475926886E-01,-9.10231222280128E-01
   3, 8.81648642403232E-01,-3.77443039025292E+00, 1.11331054464561E-02, 1.88164864240323E+00,-3.37961060583490E+00, 1.18351357596768E-01, 1.18351357596768E-01,-9.01895789452136E-01
   3, 9.27912458666013E-01,-3.85986387863660E+00, 4.03896130457447E-03, 1.92791245866601E+00,-3.41210789433402E+00, 7.20875413339869E-02, 7.20875413339870E-02,-8.93163802250701E-01
   3, 9.78464473789263E-01,-3.95728053666973E+00, 3.51589091201753E-04, 1.97846447378926E+00,-3.44840418447995E+00, 2.15355262107365E-02, 2.15355262107365E-02,-8.83667810620022E-01
   3, 1.00000000000000E+00,-4.00000000000000E+00,-3.98986399474666E-17, 2.00000000000000E+00,-3.46410161513775E+00,-2.76308318282198E-17, 1.59025447146586E-17,-8.79652811254895E-01
   3, 1.03620543362764E+00,-4.07337628267472E+00, 9.65415419444835E-04, 2.03620543362764E+00,-3.49079166549625E+00,-3.62054336276368E-02,-3.62054336276367E-02,-8.72960977804394E-01
   3, 1.10514650599932E+00,-4.21815601257821E+00, 7.86300057956488E-03, 2.10514650599932E+00,-3.54258994595103E+00,-1.05146505999323E-01,-1.05146505999323E-01,-8.60479213759969E-01
   3, 1.19119050350306E+00,-4.40726298619202E+00, 2.48819791859090E-02, 2.19119050350306E+00,-3.60887545336607E+00,-1.91190503503056E-01,-1.91190503503056E-01,-8.45508382352659E-01
   3, 1.30344703838640E+00,-4.66609567370387E+00, 5.92015969310720E-02, 2.30344703838640E+00,-3.69776338860425E+00,-3.03447038386401E-01,-3.03447038386400E-01,-8.27185016660877E-01
   3, 1.45653857938074E+00,-5.03720985162269E+00, 1.24132692861211E-01, 2.45653857938074E+00,-3.82273388803948E+00,-4.56538579380736E-01,-4.56538579380736E-01,-8.04597129241121E-01
