L,g,chi
3,0.0,0.0
3,0.04081632653061224,-0.010218880147560783
3,0.08163265306122448,-0.020524729549141627
3,0.12244897959183673,-0.030995502997363093
3,0.16326530612244897,-0.04169157080097684
3,0.2040816326530612,-0.05264806955361726
3,0.24489795918367346,-0.06386868939792026
3,0.2857142857142857,-0.07532143850247978
3,0.32653061224489793,-0.08693689970083684
3,0.36734693877551017,-0.09860937465402189
3,0.4081632653061224,-0.1102010978463738
3,0.44897959183673464,-0.12154938735440575
3,0.4897959183673469,-0.1324762386503345
3,0.5306122448979591,-0.14279951644952923
3,0.5714285714285714,-0.15234464769598005
3,0.6122448979591836,-0.1609556153515104
3,0.6530612244897959,-0.16850415184733258
3,0.6938775510204082,-0.1748962955505284
3,0.7346938775510203,-0.18007586194850034
3,0.7755102040816326,-0.18402480749681216
3,0.8163265306122448,-0.18676083655011272
3,0.8571428571428571,-0.1883328755990384
3,0.8979591836734693,-0.18881516735001586
3,0.9387755102040816,-0.1883007406487823
3,0.9795918367346939,-0.1868949133941835
3,1.0,-0.18589251194900744
3,1.0204081632653061,-0.18470932684911964
3,1.0612244897959182,-0.18185683514518536
3,1.1020408163265305,-0.17844740684996532
3,1.1428571428571428,-0.17458506474828916
3,1.183673469387755,-0.17036579344930602
3,1.2244897959183672,-0.16587628719924163
3,1.2653061224489794,-0.16119338539960373
3,1.3061224489795917,-0.15638403624737807
3,1.346938775510204,-0.15150564629984986
3,1.3877551020408163,-0.1466066882995053
3,1.4285714285714284,-0.14172746585124207
3,1.4693877551020407,-0.1369009559484182
3,1.510204081632653,-0.13215367020060786
3,1.5510204081632653,-0.1275064944009059
3,1.5918367346938773,-0.12297547914905044
3,1.6326530612244896,-0.11857256584846301
3,1.673469387755102,-0.11430624015021429
3,1.7142857142857142,-0.11018211095098467
3,1.7551020408163265,-0.1062034163494522
3,1.7959183673469385,-0.1023714614016801
3,1.8367346938775508,-0.0986859925493829
3,1.8775510204081631,-0.09514551599858319
