L,g,chi
3,0.8966305541992188,-0.18881570609684076
4,0.9594952392578124,-0.272992761544565
5,0.9892222567647696,-0.3551696994484923
6,1.0043972778320316,-0.4357714540963771
7,1.012532393746078,-0.5150199290948188
8,1.0169903564453124,-0.5930721504970875
9,1.0194029140472411,-0.6700528841952449
10,1.020641897916794,-0.7460656123954275
11,1.0211741797812282,-0.8211978272944557
12,1.0212814352319397,-0.8955243556926403
13,1.0211255599559808,-0.9691097478440119
14,1.0208093315490985,-1.0420101053941215
15,1.020394357163313,-1.114274523543096
16,1.0199255000425913,-1.185946227791892
17,1.019426589012146,-1.2570635069459684
18,1.01891704082489,-1.3276604570424297
19,1.0184073495864867,-1.3977676009877005
20,1.017895941734314,-1.467412380536205
